"decimalYear","BIRKENHEAD","BIRMINGHAM","BLACKPOOL","BOLTON","BOURNEMOUTH","BRADFORD","BRIGHTON","BRISTOL","CARDIFF","COVENTRY","DERBY","GATESHEAD","HUDDERSFIELD","HULL","IPSWICH","LEEDS","LEICESTER","LIVERPOOL","LONDON","MANCHESTER","MIDDLESBOROUGH","NEWCASTLE","NORWICH","NOTTINGHAM","OLDHAM","PLYMOUTH","PORTSMOUTH","PRESTON","READING","SALFORD","SHEFFIELD","SOUTHAMPTON","SOUTHEND","ST.HELENS","STOCKPORT","STOKE","SUNDERLAND","SWANSEA","WALSALL","WOLVERHAMPTON"
1956.692308,7,11,1,5,21,9,6,4,2,2,0,4,5,79,18,9,1,182,202,49,40,3,10,4,2,2,4,24,3,5,4,10,4,2,4,18,3,1,2,2
1956.730769,2,17,3,7,3,10,5,3,6,2,1,3,8,55,15,10,2,214,217,65,59,8,1,8,1,2,2,40,0,11,8,5,5,3,13,4,4,4,7,8
1956.769231,5,19,1,25,0,12,0,1,4,3,2,0,15,69,25,24,5,260,336,105,144,35,0,1,0,5,0,142,0,30,3,0,9,3,42,7,2,4,16,21
1956.807692,1,20,1,36,0,6,3,2,1,1,0,5,11,129,38,74,1,329,388,148,183,35,0,2,0,5,0,156,1,70,13,11,10,5,37,9,0,20,18,9
1956.846154,6,44,2,48,0,14,2,0,2,0,2,14,22,166,48,56,2,292,464,134,90,26,0,4,2,0,0,174,0,56,8,0,10,0,48,24,0,18,18,4
1956.884615,2,49,2,41,0,7,1,2,1,3,2,14,14,296,75,95,1,378,534,136,138,41,1,5,0,2,1,200,0,135,5,1,8,8,30,34,0,6,71,18
1956.923077,3,90,4,131,1,12,2,3,0,4,4,38,43,426,92,186,0,372,656,287,98,56,4,3,4,0,3,227,2,182,16,1,18,6,11,16,0,4,197,28
1956.961538,2,76,8,237,4,70,1,3,1,34,2,57,58,529,156,245,0,405,794,449,71,138,7,1,13,6,3,216,1,344,15,1,21,7,47,33,1,6,290,46
1957,14,126,31,312,2,119,8,10,2,160,3,164,57,664,166,400,6,626,1274,680,41,365,23,4,44,14,2,186,2,354,20,6,78,25,48,66,4,18,235,60
1957.038462,26,124,111,250,2,174,9,21,9,97,12,192,12,478,94,309,2,538,1362,695,27,633,16,18,118,25,6,151,4,222,31,1,209,21,99,57,11,22,97,62
1957.076923,55,194,225,371,0,221,8,46,90,176,20,313,14,459,59,578,1,875,2324,1082,46,920,7,17,378,33,6,177,19,157,45,0,373,35,202,86,3,43,109,184
1957.115385,68,280,206,412,6,326,14,48,232,138,12,464,8,578,62,526,8,938,3016,1212,34,1112,0,42,548,38,18,250,46,198,112,4,626,60,392,108,2,40,120,302
1957.153846,90,516,432,433,5,373,15,80,251,284,20,535,9,389,59,980,11,976,3821,1461,55,1060,10,73,400,112,2,184,71,191,167,22,703,120,285,142,25,29,118,421
1957.192308,215,864,601,424,5,615,7,128,386,466,29,392,5,292,61,1114,10,1152,4057,1482,66,810,15,97,402,179,17,96,191,142,253,103,498,148,177,201,52,21,83,303
